sec_code,sec_name,industry,year,title,announcement_id,published_at,file,size_kb,sha256,status
601001,晋控煤业,煤炭开采和洗选业,2023,晋能控股山西煤业股份有限公司2023年年度报告,1219877647,2024-04-27,corpus\raw\601001_晋控煤业_2023.pdf,4531,4bcf854125d12bca527c12be7197711328a8ceaa218ec63a441b5ea0c0014068,downloaded
601003,柳钢股份,黑色金属冶炼和压延加工业,2023,柳钢股份2023年年度报告,1219877659,2024-04-27,corpus\raw\601003_柳钢股份_2023.pdf,3879,a595103e60e554b8c312fe43a937ba4921ca50a0bf53e10a1aadcb2f48484a1e,downloaded
601099,太平洋,资本市场服务,2023,太平洋证券股份有限公司2023年年度报告,1219877805,2024-04-27,corpus\raw\601099_太平洋_2023.pdf,4534,7dc076bc34d1b2d4cb123e8e8a114c4f63afe8d5a2eaa79f09914a161664905d,downloaded
601162,天风证券,资本市场服务,2023,天风证券股份有限公司2023年年度报告,1219916743,2024-04-30,corpus\raw\601162_天风证券_2023.pdf,4974,356968900be7cbaafd47536727b0f4aa298447305b92fa48d890062cdc8bedc9,downloaded
601187,厦门银行,货币金融服务,2023,厦门银行股份有限公司2023年年度报告,1222778775,2024-04-30,corpus\raw\601187_厦门银行_2023.pdf,1928,012e40490a8425f3f4e124b82e8c3e704b0459ab42caaa7ab2a5dc4d1425d051,downloaded
601318,中国平安,保险业,2023,中国平安2023年年度报告,1219376072,2024-03-22,corpus\raw\601318_中国平安_2023.pdf,7056,f55538814200d77a61492ba216e45508f487064207bca6a4d90c7b55add43823,downloaded
601319,中国人保,保险业,2023,中国人保2023年年度报告,1219411146,2024-03-27,corpus\raw\601319_中国人保_2023.pdf,11486,f30387d9797371de358b10fd0f9f8237c8909a0ce1d5033ca6ab26378fcc48ce,downloaded
601336,新华保险,保险业,2023,新华保险2023年年度报告,1219426892,2024-03-28,corpus\raw\601336_新华保险_2023.pdf,4542,046dbb6f39ab859f8c6c7beabf06010abf775a860964b24ab076f8053b1365b0,downloaded
601377,兴业证券,资本市场服务,2023,兴业证券2023年年度报告,1219878037,2024-04-27,corpus\raw\601377_兴业证券_2023.pdf,5372,af66bc0c88efbe004f2a04c1118fc0a4a366d35a72ffa8b87dd2c63b5c230638,downloaded
601555,东吴证券,资本市场服务,2023,东吴证券2023年年度报告,1219922910,2024-04-30,corpus\raw\601555_东吴证券_2023.pdf,745,a38a5b2c5f57fc38e1f003e92b701a85cbb77eaf268dc022f206b52f02970eed,downloaded
601601,中国太保,保险业,2023,中国太保2023年年度报告,1219443217,2024-03-29,corpus\raw\601601_中国太保_2023.pdf,8129,716a65f266f6ed6dc12f6906db26b84aeac4745c212c8cb8687c7a4fa0fc9dab,downloaded
601628,中国人寿,保险业,2023,中国人寿2023年年度报告,1219426152,2024-03-28,corpus\raw\601628_中国人寿_2023.pdf,5665,5ea1048c3a9323b37b1ad2e870da0fb54d9cfacdfba159aad4b9bec070edc18a,downloaded
601665,齐鲁银行,货币金融服务,2023,齐鲁银行股份有限公司2023年年度报告,1219878187,2024-04-27,corpus\raw\601665_齐鲁银行_2023.pdf,12306,eacd2facef9f361e486b79e4a5b01a738b9750048aa20a449ede933ee01bd323,downloaded
601696,中银证券,资本市场服务,2023,2023年年度报告,1222778949,2024-04-30,corpus\raw\601696_中银证券_2023.pdf,1577,c14f0b505ee6cb61e9737b02b6a5c00a020f6dd6450fb444f0030753d944c156,downloaded
601699,潞安环能,煤炭开采和洗选业,2023,潞安环能2023年年度报告,1219674006,2024-04-19,corpus\raw\601699_潞安环能_2023.pdf,5108,c6cf021bb0be060a9c0f39d510686a2d0b0cf36d756ef9f8f24cdafdae56f90e,downloaded
601997,贵阳银行,货币金融服务,2023,贵阳银行股份有限公司2023年年度报告,1219878516,2024-04-27,corpus\raw\601997_贵阳银行_2023.pdf,2297,08affb6a51451a40ef1f4032375760136e80be09cff7aecd017c09be5dfd8313,downloaded
